Date Time	Download Speed
2019-07-30 06:14:13	86.75	
2019-07-30 06:19:35	86.93	
2019-07-30 06:24:57	84.91	
2019-07-30 06:30:19	172.85	
2019-07-30 06:35:42	174.01	
2019-07-30 06:41:04	95.06	
2019-07-30 06:46:26	87.87	
2019-07-30 06:51:48	99.35	
2019-07-30 06:57:11	83.43	
2019-07-30 07:02:33	149.95	
2019-07-30 07:07:55	132.89	
2019-07-30 07:13:18	150.25	
2019-07-30 07:18:40	102.21	
2019-07-30 07:24:02	124.11	
2019-07-30 07:29:25	105.29	
2019-07-30 07:34:47	131.41	
2019-07-30 07:40:09	72.80	
2019-07-30 07:45:31	153.28	
2019-07-30 07:50:54	111.64	
2019-07-30 07:56:16	88.48	
2019-07-30 08:01:38	106.83	
2019-07-30 08:07:00	82.17	
2019-07-30 08:12:22	162.33	
2019-07-30 08:17:45	87.58	
2019-07-30 08:23:08	120.59	
2019-07-30 08:28:30	100.72	
2019-07-30 08:33:52	115.33	
2019-07-30 08:39:14	118.07	
2019-07-30 08:44:37	92.07	
2019-07-30 08:49:59	115.98	
2019-07-30 08:55:21	157.54	
2019-07-30 09:00:43	117.05	
2019-07-30 09:06:06	141.70	
2019-07-30 09:11:28	122.13	
2019-07-30 09:16:50	135.56	
2019-07-30 09:22:12	164.97	
2019-07-30 09:27:34	83.73	
2019-07-30 09:32:57	129.48	
2019-07-30 09:38:19	126.02	
2019-07-30 09:43:42	101.06	
2019-07-30 09:49:04	119.20	
2019-07-30 09:54:26	113.56	
2019-07-30 09:59:26	0	
2019-07-30 10:05:09	101.40	
2019-07-30 10:10:31	137.98	
2019-07-30 10:15:53	117.41	
2019-07-30 10:21:16	165.43	
2019-07-30 10:26:38	133.36	
2019-07-30 10:31:38	0	
2019-07-30 10:36:38	0	
2019-07-30 10:41:38	0	
2019-07-30 10:46:38	0	
2019-07-30 10:51:38	0	
2019-07-30 10:56:38	0	
2019-07-30 11:01:38	0	
2019-07-30 11:04:01	117.23	
2019-07-30 11:09:01	0	
2019-07-30 11:14:01	0	
2019-07-30 11:19:01	0	
2019-07-30 11:25:25	90.29	
2019-07-30 11:30:47	104.63	
2019-07-30 11:36:09	154.20	
2019-07-30 11:41:31	121.32	
2019-07-30 11:46:54	144.65	
2019-07-30 11:52:17	126.47	
2019-07-30 11:57:40	126.44	
2019-07-30 12:02:40	0	
2019-07-30 12:07:40	0	
2019-07-30 12:13:42	162.05	
2019-07-30 12:19:04	79.79	
2019-07-30 12:24:27	68.49	
2019-07-30 12:29:50	99.26	
2019-07-30 12:35:13	84.37	
2019-07-30 12:40:35	144.93	
2019-07-30 12:45:57	81.34	
2019-07-30 12:51:19	135.29	
2019-07-30 12:56:44	73.74	
2019-07-30 13:02:06	79.35	
2019-07-30 13:07:06	0	
2019-07-30 13:12:06	0	
2019-07-30 13:18:09	119.30	
2019-07-30 13:23:31	115.55	
2019-07-30 13:28:53	95.90	
2019-07-30 13:34:15	99.18	
2019-07-30 13:39:37	163.48	
2019-07-30 13:44:59	110.44	
2019-07-30 13:50:21	168.22	
2019-07-30 13:55:43	93.40	
2019-07-30 14:01:06	132.57	
2019-07-30 14:06:28	129.38	
2019-07-30 14:11:50	164.86	
2019-07-30 14:17:12	131.24	
2019-07-30 14:22:40	150.00	
2019-07-30 14:28:02	123.60	
2019-07-30 14:33:26	107.85	
2019-07-30 14:38:49	124.04	
2019-07-30 14:44:11	83.43	
2019-07-30 14:49:33	101.08	
2019-07-30 14:54:55	86.59	
2019-07-30 15:00:17	81.81	
2019-07-30 15:05:39	134.54	
2019-07-30 15:11:01	87.31	
2019-07-30 15:16:24	90.95	
2019-07-30 15:21:46	86.73	
2019-07-30 15:27:09	82.90	
2019-07-30 15:32:31	84.52	
2019-07-30 15:37:54	106.37	
2019-07-30 15:43:16	141.83	
2019-07-30 15:48:39	122.07	
2019-07-30 15:54:02	77.07	
2019-07-30 15:59:24	122.70	
2019-07-30 16:04:46	108.38	
2019-07-30 16:10:08	107.35	
2019-07-30 16:15:30	101.01	
2019-07-30 16:20:52	94.15	
2019-07-30 16:26:15	96.67	
